Date,Author,Predicted Sentiment,Observed Sentiment,Text
Wed Nov 23 20:29:41 +0000 2016,Mike _üíµ,,,"This is pretty goddamn fucking adorable. Good job, @VirginAmerica https://t.co/VBgSC7iBrn"
Wed Nov 23 20:29:21 +0000 2016,Tomorrow@Sea-Tac,,,"@SouthwestAirlines, @VirginAmerica, @Jazzaviation recognized for cutting noise @SeaTacAirport  #tomorrowseatac https://t.co/LWjhIQwFoB"
,,,,
Thu Nov 24 23:44:28 +0000 2016,Jennifer Finley,,,"@VirginAmerica What gives? I order an adult beverage to enjoy on my flight from SFO to DEN, but unfortunately I never received. Very sad!"
Thu Nov 24 23:27:19 +0000 2016,Kelly O'Toole,,,@virginamerica have to say worst flight I have ever taken. I spent over $750 to fly to LAX and spent an extra $40 to sit on the aisle
Thu Nov 24 23:23:34 +0000 2016,Fiona Unwin,,,"@VirginAmerica Yes, Happy Thanksgiving!"
Thu Nov 24 23:09:43 +0000 2016,Cashlin O'Connor,,,Are any airlines doing any gnarly Black Friday deals?? @Delta @AmericanAir @FijiAirways @VirginAmerica @SouthwestAir
Thu Nov 24 23:07:27 +0000 2016,Simona De Rosa _üëë,,,@VirginAmerica just realized I left my sunnies in the seat pocket. Any miracle you could do _üò¢?
Thu Nov 24 23:01:11 +0000 2016,Fiona Unwin,,,@VirginAmerica Flew with you to Florida recently. So good.
Thu Nov 24 22:49:27 +0000 2016,Fiona Unwin,,,"@welshjon58 @DrGABaines I love flying with @VirginAmerica ! They are the best. Sorry to say it, but it's true."
Thu Nov 24 22:32:01 +0000 2016,pk,,,@VirginAmerica what is that round thing on top of the plane? https://t.co/xfRDECYkKM
Thu Nov 24 22:28:11 +0000 2016,Robert Griffis,,,@VirginAmerica #PhotoOfaWing here is the first wing of the day https://t.co/LJIvysI1j1
Thu Nov 24 22:26:16 +0000 2016,Jen,,,Yessss get it Dan!! @dallascowboys Thanks for the TVs @VirginAmerica https://t.co/aJAl4savNU
Thu Nov 24 22:06:14 +0000 2016,ava,,,my mom has to travel a lot and knows I like the @VirginAmerica headphones so I have about 5 pairs and counting https://t.co/JT11z3ETYw
Thu Nov 24 21:59:25 +0000 2016,DaveKloppson,,,Dear @Virgin @virginmedia @richardbranson @VirginAtlantic @VirginTrains @VirginAmerica @VirginRadio_KW... Very disappointing guys! Come on!
Thu Nov 24 21:51:41 +0000 2016,Paul Fabretti,,,Dear @VirginAmerica how do I go about requesting a refund for checking baggage in? It seems others are allowed to bring on oversized bags.
Thu Nov 24 21:50:58 +0000 2016,CGK,,,"âúàï¸èâú¨ @VirginAmerica 
#Home https://t.co/G3lHrsl2Sv"
Thu Nov 24 20:54:20 +0000 2016,John Kyle,,,@youngasadd @VirginAmerica ur a fucking clown dude_üòÇ
Thu Nov 24 20:29:42 +0000 2016,Jazmin Michole,,,@VirginAmerica Thank you! Wish you all flew into Kansas City!
Thu Nov 24 20:26:05 +0000 2016,Amanda GarcÃ_a,,,"I love hanging out in airports as much as the next aspiring wino, but @VirginAmerica, your delays are bringing me downnn. #thanksgiving"
Thu Nov 24 20:20:48 +0000 2016,Lauren,,,Ok @VirginAmerica this safety video is the worst. So terrible. Especially the second time in one day.... #makeitstop
Thu Nov 24 20:19:06 +0000 2016,`ââàââàââàââà/Â°Â°Â¬,,,"Aw yeah, football on the flight! _üëç
I âù_ @VirginAmerica! https://t.co/waENnpFOk6"
Thu Nov 24 20:06:22 +0000 2016,Joby Harte,,,Thanks @VirginAmerica for the awesome flight from DC to LAX this morning.Back in time for turkey day _üçÅ_ü_É_üç_
,,,,
Fri Nov 25 23:45:56 +0000 2016,k _üíå,,,@VirginAmerica You just keep getting better and better. Larry is an excellent rowmate. https://t.co/R5ssYP6xAg
Fri Nov 25 23:38:23 +0000 2016,Good Vibrations,,,Meet us @ the HUMAN BE-IN 1/1/4/17 in San Francisco https://t.co/SeGT2NPhWU @VirginAmerica is $49 each way right noâÄ_ https://t.co/3VV4B8vtLF
Fri Nov 25 23:36:30 +0000 2016,Manny Anekal,,,@MrBitterTV @Delta @VirginAmerica _üí°
Fri Nov 25 23:36:17 +0000 2016,Ben Nichol,,,@mannyanekal @Delta I switched to @VirginAmerica this year. Never looking back
Fri Nov 25 23:15:26 +0000 2016,Zoe Wiseman Clouser,,,Hey @richardbranson I know YOU don't approve of this. Maybe you can talk some sense into @delta or someoneâÄ_ https://t.co/iktDMaYOie
Fri Nov 25 23:15:08 +0000 2016,EastieStrong,,,@VirginAmerica did you get my DM? I await your response
Fri Nov 25 23:11:15 +0000 2016,Zoe Wiseman Clouser,,,@KeithOlbermann @Delta @yashar you need to add in @VirginAmerica @VirginAustralia and @VirginAtlantic and @richardbranson since they partner
Fri Nov 25 23:04:08 +0000 2016,Carlos Garcia,,,Flew @VirginAmerica earlier this month. 10/10 https://t.co/WJjcHiyjO4
Fri Nov 25 22:58:00 +0000 2016,debra cincioni,,,#BlackFriday fares from $29 #oneway via @VirginAmerica Book by 10pm  11/25  Fly by 3/11 https://t.co/roWvmZIrA1 https://t.co/cF7f0arCFa
Fri Nov 25 22:57:17 +0000 2016,Brian Erice,,,@Delta I'm literally flying @VirginAmerica b/c of shit like this. Plus Virgin is just a better airline. _üñï@Delta _üñï https://t.co/KtgFKwFCDq
Fri Nov 25 22:52:48 +0000 2016,èã¥å®®ãÅìãÅïãÅè,,,The latest ãÉáãÇ_ãÉªãÉ_ èã¥å®®ãÅìãÅïãÅè! https://t.co/n1J7eNEacU Thanks to @VirginAmerica @MahoArt @N_Kirihara #smm #marketing
Fri Nov 25 22:51:37 +0000 2016,Christos Petrou,,,@VirginAmerica Hoping that my experience will be better on my next flight to OGG. No idea why it told me it couldn't join the network...
Fri Nov 25 22:50:33 +0000 2016,Christos Petrou,,,@VirginAmerica Was just on flight from Newark to SFO and I was unable 2 connect to viastat wifi. V disappointed I couldn't get work done.
Fri Nov 25 22:42:48 +0000 2016,Rocco Fasulo,,,@VirginAmerica I can not find a phone #
Fri Nov 25 22:42:34 +0000 2016,nodaysoff D-Young,,,I guess Mom was right about @VirginAmerica being a dope airline. _üëè_üè__üëè_üè__üëè_üè_ #happyjetsetter
Fri Nov 25 22:38:47 +0000 2016,Maridon Sejalbo,,,s/o to @VirginAmerica for their black friday sale
Fri Nov 25 22:35:53 +0000 2016,onivister,,,"@VirginAmerica great customer service right here, dedication above and beyond, addressing customers is _üîë #brotherhood #mindpower"
Fri Nov 25 22:02:58 +0000 2016,ritee,,,@VirginAmerica really disappointed in your poor safety measures and poor customer service
Fri Nov 25 21:54:31 +0000 2016,Charissa Moore,,,@VirginAmerica any plans to come to PHX in the future?
Fri Nov 25 21:53:09 +0000 2016,J.J. Lewis,,,#Hawaii here we come! #BlackFriday trip in 2017 thanks to @HiltonWorldwide &amp; @VirginAmerica! #anotherstateoffthelist
,,,,
Sat Nov 26 23:59:16 +0000 2016,Boy-Code-It,,,"@saranormous @VirginAmerica 
ä_ å¥_! You ladies and guys enjoy your trip!"
Sat Nov 26 23:58:20 +0000 2016,Jennifer,,,@VirginAmerica Horrible customer service @VirginAmerica they don't care about customer service on hold for 1 hr and 1/2 wont give that price
Sat Nov 26 23:55:48 +0000 2016,Sarah Guo,,,.@VirginAmerica is awesome. My plane home is named Unicorn Chaser. _ü_Ñ
Sat Nov 26 23:15:38 +0000 2016,Paul Barrett,,,@VirginAmerica Any chance of a follow? #Please #ThankYou #WorldClassService I hope the magic word will do the trick for me
Sat Nov 26 22:54:56 +0000 2016,Jenna Wilkins,,,Should I be concerned that I can order wine while the rest of the cabin has to watch the @FAANews briefing?âÄ_ https://t.co/56yIJU8OEz
Sat Nov 26 22:52:19 +0000 2016,@fleurdesel,,,"going to miss flying @VirginAmerica. captivated from the safety video on, every time. https://t.co/hsoOZ5YntN"
Sat Nov 26 22:51:00 +0000 2016,Nathan Matthews,,,@Tim_McArthur @VirginAmerica @BritishAirwaysT _üòç_üòç_üòç_üáº_üá¸
Sat Nov 26 22:50:32 +0000 2016,Tim McArthur,,,@nathanmatthews #newyork #christmas #bigapple #red @VirginAmerica @BritishAirwaysT https://t.co/PS5k50wYhE
Sat Nov 26 22:48:33 +0000 2016,ABBall,,,@VirginAmerica Thank you for the response. Please know that it blocks all DM messages I send. Longtime customer here. Would LOVE support!
Sat Nov 26 22:41:29 +0000 2016,Duke Monte,,,@viesvies1 @LibertyPurveyor I've promised that I'll never buy or use a @virginmedia @VirginAmerica or @richardbranson product ever. #scab
Sat Nov 26 22:04:19 +0000 2016,Carlos Hernandez,,,@Delta @SouthwestAir @VirginAmerica you teach @AmericanAir about #CustomerService and #CustomerLoyalty. Let's makeâÄ_ https://t.co/1wQ6hauF7R
Sat Nov 26 21:43:37 +0000 2016,Jennifer Gimenez,,,@MTheHairGoddess @VirginAmerica Bahahaha
Sat Nov 26 21:43:12 +0000 2016,Jennifer Gimenez,,,@MTheHairGoddess @VirginAmerica Faruko
Sat Nov 26 21:42:09 +0000 2016,Miranda Mangiaterra,,,"@JenniferGimenez @VirginAmerica please have her demonstrate the ""dance"" to everyone on the plane"
Sat Nov 26 21:35:23 +0000 2016,ABBall,,,@VirginAmerica Flights from DC post-inauguration R EXPENSIVE! Women are protesting in WomenâÄôs March on Washington. Make it affordable again
Sat Nov 26 21:33:27 +0000 2016,Luis,,,@VirginAmerica Why do you charge for priority seating but then let half the plane on before allowing us on?
Sat Nov 26 21:32:53 +0000 2016,Jennifer Gimenez,,,Dear @VirginAmerica Plz get us to the East Coast safely! I'm so excited to be able to bring #MamaG&amp; #Max_üê¶ w/ me.âÄ_ https://t.co/sKNzmi8JCR
Sat Nov 26 21:08:52 +0000 2016,Maddy Bo Baddy,,,"My father needs a wheelchair and has been waiting in line for 30min, no one behind the counter. Come on @VirginAmerica, this is ridiculous."
Sat Nov 26 21:05:23 +0000 2016,Maddy Bo Baddy,,,Running on 20min with no attendant at the @VirginAmerica counter in austin. Line almost out the door... ugh #TravelNightmare
Sat Nov 26 20:53:31 +0000 2016,Michelle,,,@LamorneMorris @SingaporeAir @cathaypacific @Delta @VirginAmerica Cathay and Singaporean Airlines all the way
